match_id,start_date,era_label,venue,venue_type,win_loss_flag,format
565815,2013-01-23,Modern Era,"Punjab Cricket Association Stadium, Mohali",Home,1.0,ODI
565816,2013-01-27,Modern Era,Himachal Pradesh Cricket Association Stadium,Home,0.0,ODI
566947,2013-06-20,Modern Era,Sophia Gardens,Away,1.0,ODI
566948,2013-06-23,Modern Era,Edgbaston,Away,1.0,ODI
578614,2013-06-06,Modern Era,Sophia Gardens,Away,1.0,ODI
578619,2013-06-11,Modern Era,Kennington Oval,Away,1.0,ODI
578623,2013-06-15,Modern Era,Edgbaston,Away,0.0,ODI
589308,2012-12-30,Transition Era,"MA Chidambaram Stadium, Chepauk",Home,0.0,ODI
589309,2013-01-03,Modern Era,Eden Gardens,Home,0.0,ODI
589310,2013-01-06,Modern Era,Feroz Shah Kotla,Home,1.0,ODI
597924,2013-06-30,Modern Era,"Sabina Park, Kingston",Away,0.0,ODI
597925,2013-07-02,Modern Era,"Sabina Park, Kingston",Away,0.0,ODI
597926,2013-07-05,Modern Era,"Queen's Park Oval, Port of Spain",Away,1.0,ODI
597928,2013-07-09,Modern Era,"Queen's Park Oval, Port of Spain",Away,1.0,ODI
597929,2013-07-11,Modern Era,"Queen's Park Oval, Port of Spain",Away,1.0,ODI
643665,2013-07-24,Modern Era,Harare Sports Club,Away,1.0,ODI
643667,2013-07-26,Modern Era,Harare Sports Club,Away,1.0,ODI
643669,2013-07-28,Modern Era,Harare Sports Club,Away,1.0,ODI
643675,2013-08-01,Modern Era,Queens Sports Club,Away,1.0,ODI
643677,2013-08-03,Modern Era,Queens Sports Club,Away,1.0,ODI
647249,2013-10-13,Modern Era,Maharashtra Cricket Association Stadium,Home,0.0,ODI
647251,2013-10-16,Modern Era,Sawai Mansingh Stadium,Home,1.0,ODI
647253,2013-10-19,Modern Era,"Punjab Cricket Association Stadium, Mohali",Home,0.0,ODI
647255,2013-10-23,Modern Era,JSCA International Stadium Complex,Home,0.0,ODI
647259,2013-10-30,Modern Era,"Vidarbha Cricket Association Stadium, Jamtha",Home,1.0,ODI
647261,2013-11-02,Modern Era,M Chinnaswamy Stadium,Home,1.0,ODI
648651,2013-12-05,Modern Era,New Wanderers Stadium,Away,0.0,ODI
648653,2013-12-08,Modern Era,Kingsmead,Away,0.0,ODI
648655,2013-12-11,Modern Era,SuperSport Park,Away,0.0,ODI
656405,2015-02-15,Modern Era,Adelaide Oval,Away,1.0,ODI
656423,2015-02-22,Modern Era,Melbourne Cricket Ground,Away,1.0,ODI
656439,2015-02-28,Modern Era,Western Australia Cricket Association Ground,Away,1.0,ODI
656453,2015-03-06,Modern Era,Western Australia Cricket Association Ground,Away,1.0,ODI
656465,2015-03-10,Modern Era,Seddon Park,Away,1.0,ODI
656475,2015-03-14,Modern Era,Eden Park,Away,1.0,ODI
656485,2015-03-19,Modern Era,Melbourne Cricket Ground,Away,1.0,ODI
656493,2015-03-26,Modern Era,Sydney Cricket Ground,Away,0.0,ODI
667641,2014-01-19,Modern Era,McLean Park,Away,0.0,ODI
667643,2014-01-22,Modern Era,Seddon Park,Away,1.0,ODI
667647,2014-01-28,Modern Era,Seddon Park,Away,0.0,ODI
667649,2014-01-31,Modern Era,Westpac Stadium,Away,0.0,ODI
667723,2014-08-27,Modern Era,Sophia Gardens,Away,1.0,ODI
667725,2014-08-30,Modern Era,Trent Bridge,Away,1.0,ODI
667727,2014-09-02,Modern Era,Edgbaston,Away,1.0,ODI
667729,2014-09-05,Modern Era,Headingley,Away,0.0,ODI
676529,2013-11-21,Modern Era,Nehru Stadium,Away,1.0,ODI
676531,2013-11-24,Modern Era,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Home,0.0,ODI
676533,2013-11-27,Modern Era,Green Park,Home,1.0,ODI
710293,2014-02-26,Modern Era,Khan Shaheb Osman Ali Stadium,Away,1.0,ODI
710297,2014-02-28,Modern Era,Khan Shaheb Osman Ali Stadium,Away,0.0,ODI
710301,2014-03-02,Modern Era,Shere Bangla National Stadium,Away,0.0,ODI
744679,2014-06-15,Modern Era,Shere Bangla National Stadium,Away,0.0,ODI
744681,2014-06-17,Modern Era,Shere Bangla National Stadium,Away,1.0,ODI
744683,2014-06-19,Modern Era,Shere Bangla National Stadium,Away,1.0,ODI
754749,2015-01-18,Modern Era,Melbourne Cricket Ground,Away,0.0,ODI
754753,2015-01-20,Modern Era,"Brisbane Cricket Ground, Woolloongabba",Away,0.0,ODI
754757,2015-01-26,Modern Era,Sydney Cricket Ground,Away,1.0,ODI
754759,2015-01-30,Modern Era,Western Australia Cricket Association Ground,Away,0.0,ODI
770121,2014-10-08,Modern Era,Nehru Stadium,Away,0.0,ODI
770123,2014-10-11,Modern Era,Feroz Shah Kotla,Home,1.0,ODI
770127,2014-10-17,Modern Era,Himachal Pradesh Cricket Association Stadium,Home,1.0,ODI
792289,2014-11-02,Modern Era,Barabati Stadium,Home,1.0,ODI
792291,2014-11-06,Modern Era,"Sardar Patel Stadium, Motera",Home,1.0,ODI
792293,2014-11-09,Modern Era,"Rajiv Gandhi International Stadium, Uppal",Home,1.0,ODI
792295,2014-11-13,Modern Era,Eden Gardens,Home,1.0,ODI
792297,2014-11-16,Modern Era,JSCA International Stadium Complex,Home,1.0,ODI
870731,2015-06-18,Modern Era,Shere Bangla National Stadium,Away,0.0,ODI
870735,2015-06-24,Modern Era,Shere Bangla National Stadium,Away,1.0,ODI
885959,2015-07-10,Modern Era,Harare Sports Club,Away,1.0,ODI
885965,2015-07-12,Modern Era,Harare Sports Club,Away,1.0,ODI
885967,2015-07-14,Modern Era,Harare Sports Club,Away,1.0,ODI
895807,2016-01-12,Modern Era,Western Australia Cricket Association Ground,Away,0.0,ODI
895809,2016-01-15,Modern Era,"Brisbane Cricket Ground, Woolloongabba",Away,0.0,ODI
895811,2016-01-17,Modern Era,Melbourne Cricket Ground,Away,0.0,ODI
895813,2016-01-20,Modern Era,Manuka Oval,Away,0.0,ODI
895815,2016-01-23,Modern Era,Sydney Cricket Ground,Away,1.0,ODI
903593,2015-10-11,Modern Era,Green Park,Home,0.0,ODI
903595,2015-10-14,Modern Era,Holkar Cricket Stadium,Home,1.0,ODI
