Format,Player,Runs,Mins,BF,4s,6s,SR,Inns,Unnamed: 8,Opposition,Ground,Start Date,Unnamed: 12
ODI,KS More,DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,27 Oct 1988,
ODI,Arshad Ayub,DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,27 Oct 1988,
ODI,ND Hirwani,DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,27 Oct 1988,
ODI,SK Sharma,DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,27 Oct 1988,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v Pakistan,Dhaka,31 Oct 1988,
ODI,Arshad Ayub,DNB,-,-,-,-,-,2,,v Pakistan,Dhaka,31 Oct 1988,
ODI,SK Sharma,DNB,-,-,-,-,-,2,,v Pakistan,Dhaka,31 Oct 1988,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v Sri Lanka,Dhaka,4 Nov 1988,
ODI,CS Pandit,DNB,-,-,-,-,-,2,,v Sri Lanka,Dhaka,4 Nov 1988,
ODI,Arshad Ayub,DNB,-,-,-,-,-,2,,v Sri Lanka,Dhaka,4 Nov 1988,
ODI,AK Sharma,DNB,-,-,-,-,-,2,,v Sri Lanka,Dhaka,4 Nov 1988,
ODI,SK Sharma,DNB,-,-,-,-,-,2,,v Sri Lanka,Dhaka,4 Nov 1988,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v New Zealand,Visakhapatnam,10 Dec 1988,
ODI,Arshad Ayub,DNB,-,-,-,-,-,2,,v New Zealand,Visakhapatnam,10 Dec 1988,
ODI,SK Sharma,DNB,-,-,-,-,-,2,,v New Zealand,Visakhapatnam,10 Dec 1988,
ODI,Maninder Singh,DNB,-,-,-,-,-,2,,v New Zealand,Cuttack,12 Dec 1988,
ODI,CS Pandit,DNB,-,-,-,-,-,2,,v New Zealand,Cuttack,12 Dec 1988,
ODI,Arshad Ayub,DNB,-,-,-,-,-,2,,v New Zealand,Cuttack,12 Dec 1988,
ODI,SK Sharma,DNB,-,-,-,-,-,2,,v New Zealand,Cuttack,12 Dec 1988,
ODI,Maninder Singh,DNB,-,-,-,-,-,1,,v New Zealand,Indore,15 Dec 1988,
ODI,Arshad Ayub,DNB,-,-,-,-,-,1,,v New Zealand,Indore,15 Dec 1988,
ODI,SK Sharma,DNB,-,-,-,-,-,1,,v New Zealand,Indore,15 Dec 1988,
ODI,RGM Patel,DNB,-,-,-,-,-,2,,v New Zealand,Vadodara,17 Dec 1988,
ODI,C Sharma,DNB,-,-,-,-,-,2,,v West Indies,Bridgetown,7 Mar 1989,
ODI,C Sharma,DNB,-,-,-,-,-,1,,v West Indies,St John's,18 Mar 1989,
ODI,DB Vengsarkar,DNB,-,-,-,-,-,1,,v Pakistan,Sharjah,15 Oct 1989,
ODI,C Sharma,DNB,-,-,-,-,-,1,,v Pakistan,Sharjah,15 Oct 1989,
ODI,M Prabhakar,DNB,-,-,-,-,-,1,,v Pakistan,Sharjah,15 Oct 1989,
ODI,KS More,DNB,-,-,-,-,-,1,,v Pakistan,Sharjah,15 Oct 1989,
ODI,Arshad Ayub,DNB,-,-,-,-,-,1,,v Pakistan,Sharjah,15 Oct 1989,
ODI,Arshad Ayub,DNB,-,-,-,-,-,1,,v Sri Lanka,Ahmedabad,22 Oct 1989,
ODI,M Prabhakar,DNB,-,-,-,-,-,2,,v England,Kanpur,25 Oct 1989,
ODI,M Azharuddin,DNB,-,-,-,-,-,2,,v England,Kanpur,25 Oct 1989,
ODI,KS More,DNB,-,-,-,-,-,2,,v England,Kanpur,25 Oct 1989,
ODI,Arshad Ayub,DNB,-,-,-,-,-,2,,v England,Kanpur,25 Oct 1989,
ODI,AK Sharma,DNB,-,-,-,-,-,2,,v England,Kanpur,25 Oct 1989,
ODI,KS More,DNB,-,-,-,-,-,2,,v Australia,Bengaluru,27 Oct 1989,
ODI,Arshad Ayub,DNB,-,-,-,-,-,2,,v Australia,Bengaluru,27 Oct 1989,
ODI,N Kapil Dev,TDNB,-,-,-,-,-,-,,v Pakistan,Karachi,20 Dec 1989,
ODI,RJ Shastri,TDNB,-,-,-,-,-,-,,v Pakistan,Karachi,20 Dec 1989,
ODI,K Srikkanth,TDNB,-,-,-,-,-,-,,v Pakistan,Karachi,20 Dec 1989,
ODI,Maninder Singh,TDNB,-,-,-,-,-,-,,v Pakistan,Karachi,20 Dec 1989,
ODI,NS Sidhu,TDNB,-,-,-,-,-,-,,v Pakistan,Karachi,20 Dec 1989,
ODI,M Prabhakar,TDNB,-,-,-,-,-,-,,v Pakistan,Karachi,20 Dec 1989,
ODI,M Azharuddin,TDNB,-,-,-,-,-,-,,v Pakistan,Karachi,20 Dec 1989,
ODI,KS More,TDNB,-,-,-,-,-,-,,v Pakistan,Karachi,20 Dec 1989,
ODI,R Lamba,TDNB,-,-,-,-,-,-,,v Pakistan,Karachi,20 Dec 1989,
ODI,SV Manjrekar,TDNB,-,-,-,-,-,-,,v Pakistan,Karachi,20 Dec 1989,
ODI,SA Ankola,TDNB,-,-,-,-,-,-,,v Pakistan,Karachi,20 Dec 1989,
ODI,ND Hirwani,DNB,-,-,-,-,-,1,,v Australia,Hamilton,8 Mar 1990,
ODI,A Kumble,DNB,-,-,-,-,-,1,,v Sri Lanka,Sharjah,25 Apr 1990,
ODI,N Kapil Dev,DNB,-,-,-,-,-,2,,v England,Leeds,18 Jul 1990,
