Format,Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
T20,RG Sharma,DNB,-,-,-,-,2,,v South Africa,Cape Town,24 Feb 2018,
T20,MK Pandey,DNB,-,-,-,-,2,,v South Africa,Cape Town,24 Feb 2018,
T20,KD Karthik,DNB,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),6 Mar 2018,
T20,S Dhawan,DNB,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),6 Mar 2018,
T20,RG Sharma,DNB,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),6 Mar 2018,
T20,MK Pandey,DNB,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),6 Mar 2018,
T20,RR Pant,DNB,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),6 Mar 2018,
T20,KD Karthik,DNB,-,-,-,-,1,,v Bangladesh,Colombo (RPS),8 Mar 2018,
T20,SK Raina,DNB,-,-,-,-,1,,v Bangladesh,Colombo (RPS),8 Mar 2018,
T20,S Dhawan,DNB,-,-,-,-,1,,v Bangladesh,Colombo (RPS),8 Mar 2018,
T20,RG Sharma,DNB,-,-,-,-,1,,v Bangladesh,Colombo (RPS),8 Mar 2018,
T20,MK Pandey,DNB,-,-,-,-,1,,v Bangladesh,Colombo (RPS),8 Mar 2018,
T20,RR Pant,DNB,-,-,-,-,1,,v Bangladesh,Colombo (RPS),8 Mar 2018,
T20,KD Karthik,DNB,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),12 Mar 2018,
T20,S Dhawan,DNB,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),12 Mar 2018,
T20,RG Sharma,DNB,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),12 Mar 2018,
T20,MK Pandey,DNB,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),12 Mar 2018,
T20,KL Rahul,DNB,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),12 Mar 2018,
T20,KD Karthik,DNB,-,-,-,-,2,,v Bangladesh,Colombo (RPS),14 Mar 2018,
T20,SK Raina,DNB,-,-,-,-,2,,v Bangladesh,Colombo (RPS),14 Mar 2018,
T20,S Dhawan,DNB,-,-,-,-,2,,v Bangladesh,Colombo (RPS),14 Mar 2018,
T20,RG Sharma,DNB,-,-,-,-,2,,v Bangladesh,Colombo (RPS),14 Mar 2018,
T20,MK Pandey,DNB,-,-,-,-,2,,v Bangladesh,Colombo (RPS),14 Mar 2018,
T20,KL Rahul,DNB,-,-,-,-,2,,v Bangladesh,Colombo (RPS),14 Mar 2018,
T20,KD Karthik,DNB,-,-,-,-,1,,v Bangladesh,Colombo (RPS),18 Mar 2018,
T20,SK Raina,DNB,-,-,-,-,1,,v Bangladesh,Colombo (RPS),18 Mar 2018,
T20,S Dhawan,DNB,-,-,-,-,1,,v Bangladesh,Colombo (RPS),18 Mar 2018,
T20,RG Sharma,DNB,-,-,-,-,1,,v Bangladesh,Colombo (RPS),18 Mar 2018,
T20,MK Pandey,DNB,-,-,-,-,1,,v Bangladesh,Colombo (RPS),18 Mar 2018,
